,INSTNM,CITY,STABBR,PREDDEG,LOCALE,ADM_RATE,SATVR75,SATMT75,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,C150_4,RET_FT4,C100_4,ICLEVEL,BOOKSUPPLY,ROOMBOARD_ON,OTHEREXPENSE_ON,ROOMBOARD_OFF,OTHEREXPENSE_OFF,MN_EARN_WNE_P10,STUFACR,MD_EARN_WNE_MALE0_P10,MD_EARN_WNE_MALE1_P10,BBRR4_FED_UG_PAIDINFULL,AVGFACSAL,PRGMOFR,MD_FAMINC,MEDIAN_HH_INC,PCTFLOAN,INEXPFTE,TUITFTE,RET_FT4_POOLED
1167,Labette Community College,Parsons,KS,2,33.0,,,,1401.0,3488.0,4288.0,,,,2,1050.0,,,9000.0,3500.0,36000,13.0,36852.0,44424.0,0.05-0.09,6142.0,,28520,43948.65,0.0881,6977.0,3086.0,
1168,Manhattan Area Technical College,Manhattan,KS,1,13.0,,,,363.0,7650.0,7650.0,,,,2,1800.0,,,6200.0,4110.0,44200,15.0,40093.0,54095.0,0.11-0.12,5962.0,,33943,47521.64,0.1841,7761.0,6727.0,
1169,Manhattan Christian College,Manhattan,KS,3,13.0,0.4786,,,153.0,17605.0,17605.0,0.3205,0.5882,0.209,1,2100.0,9550.0,3100.0,14832.0,3332.0,38800,11.0,37889.0,48656.0,0.15-0.19,5143.0,,49684,58385.25,0.5629,5411.0,11382.0,0.5507
1170,McPherson College,McPherson,KS,3,33.0,0.8462,,,825.0,32408.0,32408.0,0.526,0.6609,0.4271,1,1420.0,9718.0,3600.0,8530.0,7876.0,43500,14.0,42826.0,51216.0,0.10-0.14,7228.0,,57117,59250.54,0.6718,7485.0,10451.0,0.6594
1171,MidAmerica Nazarene University,Olathe,KS,3,21.0,0.6465,480.0,510.0,1008.0,33840.0,33840.0,0.4474,0.6124,0.3243,1,1514.0,9562.0,7716.0,10608.0,9792.0,49600,10.0,48899.0,59364.0,0.15,7040.0,,45283,69737.68,0.5917,5940.0,12905.0,0.6081
1172,Neosho County Community College,Chanute,KS,1,33.0,,,,813.0,5032.0,5032.0,,,,2,1106.0,6340.0,4240.0,8400.0,4240.0,36700,10.0,38391.0,41869.0,0.09-0.10,5495.0,,30850,50750.94,0.1077,5242.0,3477.0,
1173,North Central Kansas Technical College,Beloit,KS,1,41.0,,,,457.0,7692.0,7692.0,,,,2,2300.0,7500.0,3190.0,7500.0,3190.0,41200,10.0,42400.0,44717.0,0.11-0.12,5048.0,,37372,45583.05,0.3072,10394.0,4099.0,
1174,Northwest Kansas Technical College,Goodland,KS,1,33.0,,,,321.0,,,,,,2,,,,,,39800,11.0,30798.0,44028.0,0.05-0.09,5672.0,20.0,33494,46925.12,0.344,6658.0,961.0,
1175,Ottawa University-Ottawa,Ottawa,KS,3,32.0,0.6657,590.0,570.0,786.0,36780.0,36780.0,0.3355,0.5526,0.2566,1,1200.0,11934.0,3640.0,9250.0,3640.0,48100,11.0,46387.0,56018.0,0.08,6428.0,,37231.5,65346.8,0.9181,2228.0,11354.0,0.5753
1176,Ottawa University-Kansas City,Overland Park,KS,3,12.0,,,,283.0,,,,,,1,,,,,,48100,8.0,46387.0,56018.0,0.08,4070.0,,37231.5,65346.8,0.6459,1403.0,7153.0,
1177,Pittsburg State University,Pittsburg,KS,3,32.0,0.9364,,,4292.0,7744.0,19088.0,0.5234,0.7544,0.3089,1,1000.0,8196.0,4114.0,7934.0,4776.0,44400,15.0,42517.0,53921.0,0.13,7427.0,,49467,50242.27,0.4955,6677.0,4857.0,0.7465
1178,Pratt Community College,Pratt,KS,1,41.0,,,,561.0,3808.0,4424.0,,,,2,2000.0,6120.0,3394.0,9632.0,5076.0,40600,18.0,40118.0,52916.0,0.13-0.14,5702.0,,37951,50619.61,0.2483,5168.0,1618.0,
1179,University of Saint Mary,Leavenworth,KS,3,31.0,0.8094,,,791.0,31630.0,31630.0,0.4667,0.5204,0.3259,1,2550.0,8585.0,1980.0,8030.0,1980.0,42500,12.0,50429.0,57691.0,0.13-0.14,6188.0,,55329,62613.14,0.8617,8408.0,15730.0,0.5826
1180,Salina Area Technical College,Salina,KS,1,33.0,,,,260.0,7460.0,7460.0,,,,2,1037.0,,,5328.0,2745.0,36500,13.0,25535.0,40554.0,0.15-0.19,5725.0,,27279,50346.68,0.1277,6721.0,2820.0,
1181,Seward County Community College,Liberal,KS,1,33.0,,,,1071.0,3616.0,4832.0,,,,2,1440.0,5310.0,4240.0,8667.0,4240.0,37400,14.0,34036.0,48104.0,0.15-0.19,5506.0,,32921,51446.43,0.0475,9333.0,1373.0,
